Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
fashion_mnist,lookAhead_improved,7,"{'sync_period': 2, 'slow_step_size': 0.8252701587962854}",77.99999714,0.995999992,0.996222198,0.851485133,0.977074325,0.864333749,6.327185392,0.123437405
fashion_mnist,lookAhead_improved,8,"{'sync_period': 2, 'slow_step_size': 0.809746586347556}",79.00000215,0.991999984,0.996222198,0.864661634,0.975147009,0.863647461,5.575740337,0.103801966
fashion_mnist,lookAhead_improved,9,"{'sync_period': 10, 'slow_step_size': 0.8567211186346418}",77.60000229,0.994000018,0.995777786,0.858560801,0.973912477,0.851818919,5.604816198,0.107716084
fashion_mnist,lookAhead_improved,10,"{'sync_period': 5, 'slow_step_size': 0.8750945844590143}",76.99999809,0.994000018,0.996222198,0.862407863,0.976906598,0.868383288,7.965101957,0.110807657
fashion_mnist,baseline_model,1,"{'lr': 0.01138893211482962, 'epsilon': 1.739386025830047e-06}",82.20000267,0.987999976,0.996222198,0.849137902,0.97925961,0.887790442,6.423077822,0.126305342
fashion_mnist,baseline_model,2,"{'lr': 0.007491994855040946, 'epsilon': 1.6583921444853897e-05}",80.400002,0.973999977,0.996888876,0.837606847,0.972850859,0.878257632,6.432189226,0.126930952
fashion_mnist,baseline_model,3,"{'lr': 0.007299158392903077, 'epsilon': 9.618780428775607e-06}",77.99999714,0.987999976,0.997555554,0.817777753,0.976121068,0.872217655,4.214471579,0.127863646
fashion_mnist,baseline_model,4,"{'lr': 0.0036336549454506917, 'epsilon': 1.3329163505125298e-07}",78.60000134,0.976000011,0.995111108,0.813304722,0.970072627,0.856367111,4.727799177,0.127071857
fashion_mnist,baseline_model,5,"{'lr': 0.00881865060413769, 'epsilon': 2.928006342244868e-07}",74.59999919,0.970000029,0.995333314,0.77204299,0.9644894,0.839972317,4.730848551,0.109004259
fashion_mnist,baseline_model,6,"{'lr': 0.008867686990253839, 'epsilon': 1.0819385960708604e-07}",79.79999781,0.966000021,0.995111108,0.831896544,0.967278361,0.86267972,4.080807209,0.129313707
fashion_mnist,baseline_model,7,"{'lr': 0.011248731120663652, 'epsilon': 3.8040287850470474e-07}",71.60000205,0.963999987,0.993111134,0.754347801,0.958856046,0.803748965,6.391870499,0.096735716
fashion_mnist,baseline_model,8,"{'lr': 0.011511757505404974, 'epsilon': 9.776402412073741e-07}",79.79999781,0.986000001,0.996444464,0.834801733,0.97660625,0.876639843,4.083209753,0.117425442
fashion_mnist,baseline_model,9,"{'lr': 0.009141826634415328, 'epsilon': 1.2431615021782405e-07}",77.79999971,0.984000027,0.996444464,0.802575111,0.973785996,0.869691551,4.11885643,0.131290674
